subject	session	---
22	1	142
22	2	143
22	3	65
22	4	38
22	5	28
22	6	32
22	7	22
22	8	48
22	9	28
22	10	153
22	11	17
22	12	112
24	1	159
24	2	56
24	3	53
24	4	79
24	5	83
24	6	12
24	7	63
24	8	77
24	9	23
24	10	56
24	11	73
24	12	101
25	1	1
25	2	2
25	3	37
25	4	16
25	5	79
25	6	83
25	7	5
25	8	10
25	9	1
25	10	17
25	11	8
25	12	71
27	1	1
27	2	7
27	3	11
27	4	14
27	5	33
27	6	5
27	7	14
27	8	33
27	9	22
27	10	7
27	11	23
27	12	46
28	2	4
28	3	12
28	4	38
28	5	30
28	6	23
28	7	23
28	8	55
28	9	16
28	10	10
28	11	4
28	12	14
29	2	32
29	3	22
29	4	5
29	5	3
29	6	3
29	7	3
29	8	12
29	9	4
29	10	3
29	12	8
33	1	8
33	2	27
33	3	28
33	4	92
33	5	45
33	6	71
33	7	28
33	8	17
33	9	42
33	10	14
33	11	4
33	12	5
37	1	3
37	2	1
37	3	30
37	4	12
37	5	12
37	6	5
37	7	6
37	9	15
37	10	8
37	12	7
38	1	6
38	2	3
38	3	6
38	4	29
38	5	49
38	6	51
38	7	62
38	8	64
38	9	6
38	10	49
38	11	19
38	12	26
39	1	55
39	2	196
39	3	5
39	4	21
39	5	9
39	6	2
39	8	96
39	9	18
39	10	1
39	11	2
39	12	14
40	1	196
40	2	198
40	3	54
40	4	121
40	5	33
40	6	114
40	7	70
40	8	36
40	9	40
40	10	109
40	11	26
40	12	56
42	1	25
42	2	3
42	3	77
42	4	91
42	5	67
42	6	103
42	7	117
42	8	73
42	9	15
42	10	18
42	12	6
43	1	22
43	2	5
43	3	7
43	5	3
43	6	2
43	7	4
43	8	21
43	9	24
43	10	15
43	11	18
43	12	4
44	1	4
44	2	22
44	3	9
44	4	8
44	5	11
44	6	7
44	7	104
44	8	55
44	9	17
44	10	28
44	11	4
44	12	9
45	1	2
45	3	8
45	4	1
45	5	5
45	6	24
45	7	8
45	8	4
45	9	57
45	10	7
45	11	2
45	12	8
47	1	3
47	2	6
47	3	22
47	4	6
47	5	6
47	6	24
47	7	10
47	8	39
47	9	22
47	10	65
47	11	7
47	12	14
48	1	5
48	2	16
48	3	1
48	4	14
48	5	22
48	6	8
48	7	22
48	8	4
48	9	5
48	10	3
48	11	3
48	12	8
49	1	67
49	2	36
49	3	75
49	4	81
49	5	49
49	6	27
49	7	54
49	8	19
49	9	129
49	10	80
49	12	47
50	1	1
50	2	40
50	3	14
50	4	39
50	5	5
50	6	1
50	7	3
50	8	26
50	9	5
50	10	3
50	11	4
50	12	25
51	1	16
51	2	47
51	3	29
51	4	69
51	5	68
51	6	43
51	7	38
51	8	12
51	9	78
51	10	10
51	11	15
51	12	1
54	1	4
54	2	39
54	3	33
54	4	15
54	5	37
54	6	39
54	7	33
54	8	35
54	9	27
54	10	20
54	11	8
54	12	15
55	1	64
55	2	21
55	3	21
55	4	16
55	5	42
55	6	17
55	7	15
55	8	2
55	9	19
55	10	5
55	11	16
55	12	14
58	1	145
58	2	27
58	3	15
58	4	4
58	5	17
58	6	6
58	7	21
58	8	14
58	10	22
58	11	5
58	12	12
59	1	16
59	2	13
59	3	47
59	4	9
59	6	30
59	7	25
59	8	8
59	9	9
59	10	4
59	11	4
59	12	2
61	1	60
61	2	22
61	3	31
61	4	20
61	5	75
61	6	37
61	7	9
61	8	26
61	9	8
61	10	7
61	12	39
62	1	7
62	2	32
62	3	20
62	4	64
62	5	35
62	6	32
62	7	11
62	8	33
62	9	40
62	10	52
62	11	13
62	12	9
64	1	5
64	2	43
64	3	15
64	4	57
64	5	31
64	6	31
64	7	21
64	8	26
64	9	30
64	10	16
64	11	5
64	12	2
65	1	5
65	3	14
65	4	48
65	5	20
65	6	15
65	7	29
65	8	39
65	9	43
65	10	30
65	11	23
65	12	3
66	1	1
66	2	6
66	3	15
66	4	5
66	5	5
66	6	17
66	7	13
66	8	15
66	9	6
66	10	15
66	11	2
66	12	6
68	1	75
68	2	22
68	3	90
68	4	83
68	5	40
68	6	110
68	7	80
68	8	49
68	9	26
68	10	55
68	11	44
72	1	4
72	2	7
72	3	7
72	4	7
72	6	6
72	7	6
72	8	1
72	9	3
72	10	5
72	11	13
72	12	6
73	1	169
73	2	84
73	3	36
73	4	42
73	5	16
73	6	22
73	7	58
73	8	33
73	9	9
73	10	47
73	11	63
73	12	38
74	2	7
74	3	25
74	4	30
74	5	11
74	6	2
74	7	12
74	8	2
74	9	11
74	10	1
74	11	27
74	12	7
75	1	8
75	2	15
75	3	19
75	4	2
75	5	2
75	6	3
75	7	2
75	8	1
75	9	1
75	10	4
75	11	8
75	12	2
76	1	57
76	2	17
76	3	14
76	4	45
77	1	53
77	2	59
77	3	57
77	4	97
77	5	18
77	6	13
77	7	29
77	8	37
77	9	16
77	10	4
77	12	11
78	1	5
78	3	11
78	4	4
78	5	1
78	6	3
78	7	18
78	8	4
78	9	5
78	10	15
78	11	1
78	12	21
79	1	22
79	2	4
79	4	11
79	5	16
79	6	28
79	7	15
79	8	60
79	9	57
79	10	27
79	11	6
79	12	25
80	1	31
80	2	38
80	3	40
80	4	10
80	5	43
80	6	47
80	7	51
80	8	8
80	9	45
80	10	17
80	11	16
80	12	6
81	1	9
81	2	16
81	3	25
81	5	4
81	6	21
81	7	47
81	8	27
81	9	10
81	10	9
81	11	17
81	12	10
82	1	20
82	2	27
82	3	49
82	4	21
82	5	86
82	6	14
82	7	105
82	8	1
82	9	5
82	10	23
82	11	44
82	12	3
83	1	83
83	2	4
83	3	20
83	4	52
83	5	4
83	6	28
83	7	7
83	8	6
83	9	10
83	10	12
83	11	2
83	12	2
84	1	2
84	2	21
84	3	8
84	4	7
84	5	7
84	6	8
84	7	1
84	8	4
84	9	3
84	10	10
84	11	12
84	12	1
85	1	70
85	2	37
85	3	24
85	4	50
85	5	54
85	6	26
85	7	12
85	8	46
85	9	12
85	10	22
85	11	11
85	12	130
87	1	96
87	2	21
87	4	9
87	5	34
87	6	26
87	7	35
87	8	50
87	9	27
87	11	20
87	12	23
88	1	12
88	2	47
88	3	8
88	4	33
88	5	9
88	6	14
88	7	25
88	8	10
88	9	30
88	10	14
88	11	3
88	12	6
89	1	127
89	2	37
89	3	81
89	4	49
89	5	31
89	6	37
89	7	17
89	9	17
89	10	15
91	1	17
91	2	21
91	3	22
91	4	13
91	5	4
91	6	40
91	7	21
92	1	18
92	2	22
92	3	8
92	4	28
92	5	13
92	6	5
92	7	9
92	8	30
92	9	4
92	10	4
92	11	1
92	12	5
100	1	7
100	2	16
100	3	30
100	4	9
100	5	38
100	6	10
100	7	4
100	8	42
100	9	5
100	10	7
100	11	4
100	12	19
102	1	3
102	2	6
102	4	6
102	5	10
102	6	19
102	7	11
102	8	36
102	9	11
102	10	14
102	11	2
102	12	11
103	1	22
103	2	22
103	3	6
103	4	9
103	5	1
103	6	1
103	7	3
103	8	10
103	9	14
103	10	2
103	11	8
103	12	6
105	1	17
105	2	22
105	3	1
105	4	9
105	5	10
105	6	4
105	7	11
105	8	7
105	9	9
105	10	13
105	11	8
105	12	2
106	1	55
106	2	65
106	3	33
106	5	17
106	6	42
106	7	36
106	8	71
106	9	34
106	10	13
106	11	21
106	12	1
107	1	43
107	2	72
107	3	43
107	4	24
107	5	14
107	6	6
107	7	16
107	8	9
107	9	2
107	10	1
107	11	1
107	12	2
108	1	1
108	2	56
108	3	47
108	4	85
108	5	60
108	6	42
108	7	36
108	8	28
108	9	37
108	10	54
108	11	41
108	12	13
109	1	25
109	2	8
109	3	31
109	4	110
109	5	4
109	6	29
109	7	11
109	8	48
109	9	14
109	10	2
109	11	25
109	12	2
110	1	45
110	2	16
110	3	7
110	4	14
119	1	19
119	2	95
119	3	12
119	4	15
119	5	28
119	6	72
119	7	26
119	8	56
119	9	32
119	10	17
119	11	25
119	12	45
123	1	22
123	2	2
123	3	13
123	4	4
123	5	7
123	6	9
124	1	94
124	2	71
124	3	6
124	5	55
124	6	69
124	7	74
124	8	83
124	9	60
124	10	61
124	12	11
125	1	37
125	2	47
125	3	36
125	4	19
125	5	13
125	6	29
125	7	43
125	8	31
125	9	19
125	10	10
125	11	12
125	12	9
126	1	80
126	3	121
126	4	53
126	5	44
126	6	110
126	7	45
126	8	43
127	1	22
127	2	20
127	3	27
127	4	28
127	5	27
127	6	12
127	7	52
127	8	92
127	9	1
127	10	4
