SUBJ	SEX	EDU	INC	RACE	ETHN	VOCB1	VOCB2	VOCB3	VOCB4	READ1	READ2	READ3	READ4
125	F	5	6	W	N	32	76	79	155	516	511	516	545
28	F	4	6	W	N	18	45	56	145	470	494	462	512
43	M	4	4	W	N	38	87	107	176	514	536	504	562
61	F	2	1	W	H	24	14	43	116	457	473	333	
62	M	2	5	W	N	31	56	78	152	525	533	510	533
89	M	4	3	B	N	35	33			480		504	
64	M	3	2	W	H		10	21	138	494	519	478	447
65	M	5	4	W	N	22	82	120	174	527	542	516	533
66	F	4	3	W	N	26	46	72	152	470	486	424	447
68	F	3	2	B	N	22	35	32	127	511	522	431	457
83	F	5	4	W	N	12	43	70	150	470	486	465	493
80	M	3	2	B	N	4	30	33	87	470	480	431	443
81	F	2	2	W	N	25	49	53	150	438	514	486	493
119	F	5	5	W	N	42	48	81	163	506	519	510	562
87	M	5	1	B	N	11	17	34	118	453	470	385	447
84	M	3	6	W	N	28	50	73	147	483	497	454	505
85	M	3	2	M	N	29	36	47	126	464	489	385	457
24	F	5	5	B	N	43	77	88	158	514	519	524	562
25	M	4	4	W	N	10	45	66	168	464	483	438	423
123	M	4	6	W	H	42							
27	M	5	6	W	N	28	62	96	154	516	536	472	524
48	M	5	6	W	N	21	49	79	160	470	503	448	524
49	M	4	5	W	N	44	59	96	163	533	545	462	524
108	F	2	3	M	N	45	40	81	164	473	483	480	545
47	F	5	6	W	N	22	43	79	152	506	511	465	487
44	F	3	3	B	N	12	40	44	148	480	508	431	476
45	F	4	6	W	N	36	57	76	150	514	527	499	509
42	M	3	2	W	N	14	39		148	497	514	442	497
29	F	5	6	M	N	37	65	82	138	497	511	504	509
40	F	2	5	M	N	34	68	101					
82	F	3	1	B	N	31	44	64		506		524	
105	F	4	4	W	N	30	63	62	117	489	506	411	470
78	M	5	2	W	N	11	53	72	164	467	480	499	479
77	F	1	1	B	N	2	16	25	96	477	497	390	451
76	M	4	4	B	N								
75	M	5	6	W	N	37	58	74	170	536	542	524	552
74	F	4	5	W	N	25	54	67	120	470	497	435	467
73	F	1	2	W	H	8	37	61	132				
72	M	5	5	W	N	25	54	77	152	497	514	472	562
126	F	2	2	B	N	4	39						
127	M	4	4	W	H	31	81	80	165	525	525	534	562
91	F	5	6	W	N	42							
103	F	4	4	M	N	32	61	67	165	525	536	534	545
100	M	4	5	W	N	29	35	49	166	497	503	454	497
92	M	4	6	W	N	39	64	88	156	522	525	472	509
102	M	4	1	W	N	33	46	83	151	486	503	462	487
107	M	3	4	W	N	1	36	78		497	511	480	497
79	M	4	6	W	N	22	41	85	123	516	527	462	528
58	M	5	3	W	N	48	68	84	172	503	519	534	596
51	M	4	3	W	H	34	71	82	168	533	539	516	
39	M	4	6	B	N	34	59	91	150	511	530	468	497
38	F	5	3	W	N	40	78	78	147	480	497	504	512
59	F	5	4	B	N		44	49	152	500	522	442	428
22	F	4	5	W	N	50	81	84	160	525	530	504	562
33	M	3	2	B	N	15	36	52					
54	M	5	2	W	N	64	88	120	176	527	530	499	545
37	F	4	4	W	N	29	52	82	147	506	514	489	512
50	M	4	3	W	N	37	58	91	167	506	527	478	519
55	F	2	2	W	H		36	75	133	483	503	451	502
109	M	4	4	W	N	11	41	67	146	489	506	451	524
106	F	5	4	M	N	64	70	80	160	494	508	510	524
88	M	5	5	W	H	33	73	92	181	508	519	516	528
124	F	2	2	B	H	25	59						
110	F	4	5	W	N								
