SUBJ	SESS	AGE	WJ	GM
125	22	102	516	516
125	25	114	511	545
28	22	102	470	462
28	25	114	494	512
43	22	102	514	504
43	25	114	536	562
61	22	102	457	333
61	25	114	473	
62	22	102	525	510
62	25	114	533	533
89	22	102	480	504
89	25	114		
64	22	102	494	478
64	25	114	519	447
65	22	102	527	516
65	25	114	542	533
66	22	102	470	424
66	25	114	486	447
68	22	102	511	431
68	25	114	522	457
83	22	102	470	465
83	25	114	486	493
80	22	102	470	431
80	25	114	480	443
81	22	102	438	486
81	25	114	514	493
119	22	102	506	510
119	25	114	519	562
87	22	102	453	385
87	25	114	470	447
84	22	102	483	454
84	25	114	497	505
85	22	102	464	385
85	25	114	489	457
24	22	102	514	524
24	25	114	519	562
25	22	102	464	438
25	25	114	483	423
123	22	102		
123	25	114		
27	22	102	516	472
27	25	114	536	524
48	22	102	470	448
48	25	114	503	524
49	22	102	533	462
49	25	114	545	524
108	22	102	473	480
108	25	114	483	545
47	22	102	506	465
47	25	114	511	487
44	22	102	480	431
44	25	114	508	476
45	22	102	514	499
45	25	114	527	509
42	22	102	497	442
42	25	114	514	497
29	22	102	497	504
29	25	114	511	509
40	22	102		
40	25	114		
82	22	102	506	524
82	25	114		
105	22	102	489	411
105	25	114	506	470
78	22	102	467	499
78	25	114	480	479
77	22	102	477	390
77	25	114	497	451
76	22	102		
76	25	114		
75	22	102	536	524
75	25	114	542	552
74	22	102	470	435
74	25	114	497	467
73	22	102		
73	25	114		
72	22	102	497	472
72	25	114	514	562
126	22	102		
126	25	114		
127	22	102	525	534
127	25	114	525	562
91	22	102		
91	25	114		
103	22	102	525	534
103	25	114	536	545
100	22	102	497	454
100	25	114	503	497
92	22	102	522	472
92	25	114	525	509
102	22	102	486	462
102	25	114	503	487
107	22	102	497	480
107	25	114	511	497
79	22	102	516	462
79	25	114	527	528
58	22	102	503	534
58	25	114	519	596
51	22	102	533	516
51	25	114	539	
39	22	102	511	468
39	25	114	530	497
38	22	102	480	504
38	25	114	497	512
59	22	102	500	442
59	25	114	522	428
22	22	102	525	504
22	25	114	530	562
33	22	102		
33	25	114		
54	22	102	527	499
54	25	114	530	545
37	22	102	506	489
37	25	114	514	512
50	22	102	506	478
50	25	114	527	519
55	22	102	483	451
55	25	114	503	502
109	22	102	489	451
109	25	114	506	524
106	22	102	494	510
106	25	114	508	524
88	22	102	508	516
88	25	114	519	528
124	22	102		
124	25	114		
110	22	102		
110	25	114		
